Time,PGN,SPN,Value
1385746878.569997,EEC1,61444,Engine Speed,0.000
1385746878.580007,EEC1,61444,Engine Speed,0.000
1385746878.589997,EEC1,61444,Engine Speed,0.000
1385746878.599984,EEC1,61444,Engine Speed,0.000
1385746878.609998,EEC1,61444,Engine Speed,0.000
1385746878.619985,EEC1,61444,Engine Speed,0.000
1385746878.630001,EEC1,61444,Engine Speed,0.000
1385746878.639984,EEC1,61444,Engine Speed,0.000
1385746878.649997,EEC1,61444,Engine Speed,0.000
1385746878.659983,EEC1,61444,Engine Speed,0.000
1385746878.669995,EEC1,61444,Engine Speed,0.000
1385746878.680004,EEC1,61444,Engine Speed,0.000
1385746878.689994,EEC1,61444,Engine Speed,0.000
1385746878.700947,EEC1,61444,Engine Speed,0.000
1385746878.709995,EEC1,61444,Engine Speed,0.000
1385746878.719981,EEC1,61444,Engine Speed,0.000
1385746878.729994,EEC1,61444,Engine Speed,0.000
1385746878.739982,EEC1,61444,Engine Speed,0.000
1385746878.749992,EEC1,61444,Engine Speed,0.000
1385746878.759981,EEC1,61444,Engine Speed,0.000
1385746878.769992,EEC1,61444,Engine Speed,0.000
1385746878.780012,EEC1,61444,Engine Speed,0.000
1385746878.789992,EEC1,61444,Engine Speed,0.000
1385746878.799980,EEC1,61444,Engine Speed,0.000
1385746878.809993,EEC1,61444,Engine Speed,0.000
1385746878.819978,EEC1,61444,Engine Speed,0.000
1385746878.829991,EEC1,61444,Engine Speed,0.000
1385746878.840933,EEC1,61444,Engine Speed,0.000
1385746878.849989,EEC1,61444,Engine Speed,0.000
1385746878.859978,EEC1,61444,Engine Speed,0.000
1385746878.869990,EEC1,61444,Engine Speed,0.000
1385746878.880001,EEC1,61444,Engine Speed,0.000
1385746878.889989,EEC1,61444,Engine Speed,0.000
1385746878.899977,EEC1,61444,Engine Speed,0.000
1385746878.909990,EEC1,61444,Engine Speed,0.000
1385746878.920940,EEC1,61444,Engine Speed,0.000
1385746878.929988,EEC1,61444,Engine Speed,0.000
1385746878.939976,EEC1,61444,Engine Speed,0.000
1385746878.949988,EEC1,61444,Engine Speed,0.000
1385746878.959976,EEC1,61444,Engine Speed,0.000
1385746878.969986,EEC1,61444,Engine Speed,0.000
1385746878.980008,EEC1,61444,Engine Speed,0.000
1385746878.989986,EEC1,61444,Engine Speed,0.000
1385746879.000002,EEC1,61444,Engine Speed,0.000
1385746879.011475,EEC1,61444,Engine Speed,0.000
1385746879.020000,EEC1,61444,Engine Speed,0.000
1385746879.030010,EEC1,61444,Engine Speed,0.000
1385746879.039997,EEC1,61444,Engine Speed,0.000
1385746879.050010,EEC1,61444,Engine Speed,0.000
1385746879.059996,EEC1,61444,Engine Speed,0.000
1385746879.070011,EEC1,61444,Engine Speed,0.000
1385746879.081172,EEC1,61444,Engine Speed,0.000
1385746879.090008,EEC1,61444,Engine Speed,0.000
1385746879.099997,EEC1,61444,Engine Speed,0.000
1385746879.110011,EEC1,61444,Engine Speed,0.000
1385746879.119994,EEC1,61444,Engine Speed,0.000
1385746879.130007,EEC1,61444,Engine Speed,0.000
